feature,feature_name,variance,std_dev,mean,min,max
user_total_amount_7d,User Total Amount (7 Days),2.5378665008465136e+17,503772418.93999255,100344170.99673104,-2444534825.38,31993244873.6
user_total_amount_3d,User Total Amount (3 Days),1.1633256647611485e+17,341075602.2879896,54465674.69128247,-939277334.99,18627249297.45
user_max_balance_7d,User Maximum Balance (7 Days),6.250675559845887e+16,250013510.8318326,58629068.00713829,-194988414.12,4545580535.43
user_max_amount_to_single_recipient_7d,User Max Amount to One Recipient,6.250655794836448e+16,250013115.55269352,58627161.560510196,-194989414.12,4545578535.43
user_max_amount_7d,User Maximum Amount (7 Days),6.250645826448184e+16,250012916.19530746,58628013.0195197,-194989414.12,4545578535.43
user_max_amount_3d,User Maximum Amount (3 Days),3.689577937391605e+16,192082740.95794252,35194255.89219303,-194989414.12,4053039411.07
user_avg_amount_per_recipient_7d,User Avg Amount per Recipient,9430062713749438.0,97108509.99654685,15581177.876782557,-194989414.12,3960309917.79
user_avg_end_balance_7d,User Average Ending Balance,8449233924543847.0,91919714.55865084,14492424.499924792,-194988414.12,3960311417.79
user_avg_start_balance_7d,User Average Starting Balance,8449165939022839.0,91919344.74865907,14493426.525349364,-194989414.12,3960309917.79
user_avg_amount_7d,User Average Amount (7 Days),8449165939022839.0,91919344.74865907,14493426.525349364,-194989414.12,3960309917.79
user_median_amount_7d,User Median Amount (7 Days),7700099324596666.0,87750209.82651076,8873462.436709777,-194989414.12,3960309917.79
user_avg_amount_3d,User Average Amount (3 Days),7618727963297896.0,87285325.01685433,11806474.37572956,-194989414.12,3960309917.79
user_median_amount_3d,User Median Amount (3 Days),7082905445078040.0,84159999.07959862,8224114.0789996805,-194989414.12,3960309917.79
user_balance_volatility_7d,User Balance Volatility,5898026191116668.0,76798608.00246751,16286654.407247704,0.0,1721031694.581083
user_min_balance_7d,User Minimum Balance (7 Days),5180037212300702.0,71972475.37983324,5396986.958428875,-506270832.23,3960309917.79
user_min_amount_7d,User Minimum Amount (7 Days),5180031656340334.0,71972436.78200936,5397503.824783171,-506270832.23,3960309917.79
user_min_amount_3d,User Minimum Amount (3 Days),5113245661436477.0,71506962.32840881,5424570.532941372,-501598717.96,3960309917.79
trx_amt,Transaction Amount (PKR),25420147.17302367,5041.839661574302,1607.263736033407,1.0,345978.0
user_total_txns_7d,User Total Transactions (7 Days),1331.8830135398448,36.49497244196582,23.011686868352477,0.0,847.0
user_off_peak_hour_txns_7d,User Off-Peak Transactions (7 Days),494.55426029056633,22.238575950149468,13.011754969236371,0.0,578.0
user_total_txns_3d,User Total Transactions (3 Days),392.76459452075704,19.818289394414368,12.28720318182463,0.0,491.0
user_peak_hour_txns_7d,User Peak Hour Transactions (7 Days),297.36506080383396,17.244276175120657,9.999931899116108,0.0,479.0
user_avg_time_between_txns_7d,User Avg Time Between Transactions,174.24614113996802,13.200232616888538,9.25486550251744,0.0,167.0
user_weekend_txns_7d,User Weekend Transactions (7 Days),60.39966483731162,7.771722128158702,4.5738142642976385,0.0,490.0
user_txn_frequency_score_7d,User Transaction Frequency Score,49.348665369225365,7.0248605231154135,5.764629772382249,0.2857142857142857,144.28571428571428
user_night_txns_7d,User Night Transactions (7 Days),43.718083935426534,6.6119652097864625,2.1004733957276156,0.0,296.0
user_unique_recipients_7d,User Unique Recipients (7 Days),28.792143820388844,5.365831139757274,6.32310748116585,0.0,214.0
user_unique_recipients_3d,User Unique Recipients (3 Days),15.442206465036364,3.929657296131097,4.147850802313538,0.0,161.0
user_unique_types_7d,User Unique Types (7 Days),2.7352812027006763,1.653868556657595,2.707480220003689,0.0,10.0
user_unique_types_3d,User Unique Types (3 Days),2.1697038309160277,1.4729914564979756,1.9906238324718257,0.0,9.0
user_unique_channels_7d,User Unique Channels (7 Days),1.2432053528175937,1.1149911895694933,2.0650164813597476,0.0,9.0
user_unique_channels_3d,User Unique Channels (3 Days),1.1348754227869335,1.0653053190456403,1.6292285210285125,0.0,7.0
user_channel_diversity_score_7d,User Channel Diversity Score,0.0957926386617699,0.3095038588802568,0.8036395701278092,0.0,0.9989941205638592
user_type_diversity_score_7d,User Transaction Type Diversity,0.09397722302944911,0.3065570469414284,0.802557239043104,0.0,0.9989940615221448
user_recipient_concentration_ratio_7d,User Recipient Concentration,0.05514669092008866,0.23483332582938193,0.41289931913178063,0.006060606060606061,1.0
user_days_since_last_txn,Days Since User Last Transaction,0.0,0.0,0.0,0.0,0.0
