feature,feature_name,VIF,multicollinearity
user_avg_start_balance_7d,User Average Starting Balance,inf,High (>10)
user_avg_amount_7d,User Average Amount (7 Days),inf,High (>10)
user_total_txns_7d,User Total Transactions (7 Days),inf,High (>10)
user_peak_hour_txns_7d,User Peak Hour Transactions (7 Days),inf,High (>10)
user_off_peak_hour_txns_7d,User Off-Peak Transactions (7 Days),inf,High (>10)
user_max_amount_7d,User Maximum Amount (7 Days),5072740861.012674,High (>10)
user_max_balance_7d,User Maximum Balance (7 Days),4480727752.557566,High (>10)
user_min_amount_7d,User Minimum Amount (7 Days),1197408068.9906876,High (>10)
user_min_balance_7d,User Minimum Balance (7 Days),1197397881.4145005,High (>10)
user_avg_end_balance_7d,User Average Ending Balance,1092982020.8302684,High (>10)
user_max_amount_to_single_recipient_7d,User Max Amount to One Recipient,537951546.7745297,High (>10)
user_balance_volatility_7d,User Balance Volatility,73.13617185596146,High (>10)
user_channel_diversity_score_7d,User Channel Diversity Score,58.46185135920164,High (>10)
user_type_diversity_score_7d,User Transaction Type Diversity,58.197579646113574,High (>10)
user_avg_amount_3d,User Average Amount (3 Days),47.96558477017094,High (>10)
user_avg_amount_per_recipient_7d,User Avg Amount per Recipient,38.652648231479596,High (>10)
user_median_amount_7d,User Median Amount (7 Days),29.635163151090495,High (>10)
user_median_amount_3d,User Median Amount (3 Days),21.47054994514645,High (>10)
user_total_txns_3d,User Total Transactions (3 Days),13.69031596044448,High (>10)
user_max_amount_3d,User Maximum Amount (3 Days),11.623004895440644,High (>10)
user_unique_types_3d,User Unique Types (3 Days),11.466720907561145,High (>10)
user_unique_recipients_3d,User Unique Recipients (3 Days),10.954855760329421,High (>10)
user_unique_recipients_7d,User Unique Recipients (7 Days),10.214000774838059,High (>10)
user_min_amount_3d,User Minimum Amount (3 Days),9.907259445278598,Moderate (5-10)
user_total_amount_3d,User Total Amount (3 Days),9.66053781093113,Moderate (5-10)
user_unique_channels_3d,User Unique Channels (3 Days),9.128379681766477,Moderate (5-10)
user_unique_types_7d,User Unique Types (7 Days),9.107658322841106,Moderate (5-10)
user_total_amount_7d,User Total Amount (7 Days),8.13144914927147,Moderate (5-10)
user_unique_channels_7d,User Unique Channels (7 Days),7.055285634208934,Moderate (5-10)
user_weekend_txns_7d,User Weekend Transactions (7 Days),3.6888082925543837,Low (<5)
user_txn_frequency_score_7d,User Transaction Frequency Score,3.6009415050745472,Low (<5)
user_night_txns_7d,User Night Transactions (7 Days),2.231354528284223,Low (<5)
user_recipient_concentration_ratio_7d,User Recipient Concentration,1.5350802044354293,Low (<5)
user_avg_time_between_txns_7d,User Avg Time Between Transactions,1.3066606459381787,Low (<5)
trx_amt,Transaction Amount (PKR),1.117631448656274,Low (<5)
user_days_since_last_txn,Days Since User Last Transaction,,Low (<5)
