feature,feature_name,variance,std_dev,mean,min,max
user_total_amount_7d,User Total Amount (7 Days),1.666491705031845e+17,408226861.5649692,50993955.63097056,-3046556379.23,48006794512.98
user_total_amount_3d,User Total Amount (3 Days),6.832217372064615e+16,261385106.1568852,26633416.827810444,-1743328561.75,31400846212.04
user_max_amount_to_single_recipient_7d,User Max Amount to One Recipient,3.3303963112284436e+16,182493734.4466501,29515469.79362431,-600767095.38,4591551167.44
user_max_balance_7d,User Maximum Balance (7 Days),3.3303801138201628e+16,182493290.6662643,29519970.53296612,-600757095.38,4591559167.44
user_max_amount_7d,User Maximum Amount (7 Days),3.3303670774017516e+16,182492933.4906355,29517539.64382917,-600767095.38,4591551167.44
user_max_amount_3d,User Maximum Amount (3 Days),1.854282725938651e+16,136172050.21364152,17117544.501950707,-489734303.96,4122864888.88
user_avg_amount_per_recipient_7d,User Avg Amount per Recipient,7547906939277120.0,86878690.93901634,11567376.000395717,-600767095.38,4210034982.58
user_avg_end_balance_7d,User Average Ending Balance,6453103996657297.0,80331214.3357568,10502217.250250142,-600757095.38,3700318035.19
user_avg_start_balance_7d,User Average Starting Balance,6453031334488081.0,80330762.06838873,10502335.735612623,-600767095.38,3700315035.19
user_avg_amount_7d,User Average Amount (7 Days),6453031334488081.0,80330762.06838873,10502335.735612623,-600767095.38,3700315035.19
user_median_amount_7d,User Median Amount (7 Days),5964679389619742.0,77231336.8369326,7081869.035611446,-600767095.38,3989493423.81
user_avg_amount_3d,User Average Amount (3 Days),5713064002494827.0,75584813.30594677,8103675.693698463,-489734303.96,4119362197.125
user_median_amount_3d,User Median Amount (3 Days),5541971316439979.0,74444417.63114263,6426832.01791781,-489734303.96,4119362197.12
user_balance_volatility_7d,User Balance Volatility,4285775097088872.5,65465831.52369542,9769517.319032168,0.0,2139356453.6178925
user_min_amount_3d,User Minimum Amount (3 Days),3613319923402866.0,60110896.87737878,3770440.0481929835,-512749482.74,4115859505.37
user_min_balance_7d,User Minimum Balance (7 Days),3448568833078434.5,58724516.45674432,3604807.8207374797,-721254635.58,3700315035.19
user_min_amount_7d,User Minimum Amount (7 Days),3448563896218922.0,58724474.42267084,3605496.4215675914,-721254635.58,3700315035.19
trx_amt,Transaction Amount (PKR),56136298.89103067,7492.416091691029,4817.2096357622795,1.0,100000.0
user_avg_time_between_txns_7d,User Avg Time Between Transactions,582.0803770482722,24.12634197403892,22.18291401259806,0.0,168.0
user_total_txns_7d,User Total Transactions (7 Days),146.11591135369747,12.087841467925424,7.622133687472333,0.0,887.0
user_off_peak_hour_txns_7d,User Off-Peak Transactions (7 Days),46.71744722877406,6.835016256657629,3.895408069618545,0.0,751.0
user_total_txns_3d,User Total Transactions (3 Days),42.91725241707783,6.551126041916598,3.8821724844074468,0.0,484.0
user_peak_hour_txns_7d,User Peak Hour Transactions (7 Days),41.25699262438198,6.423160641333983,3.726725617853788,0.0,638.0
user_unique_recipients_7d,User Unique Recipients (7 Days),21.871942803474226,4.676744893991357,4.279464616691319,0.0,412.0
user_unique_recipients_3d,User Unique Recipients (3 Days),9.117946777441066,3.0195938100084034,2.507667613196716,0.0,369.0
user_weekend_txns_7d,User Weekend Transactions (7 Days),7.165918514789225,2.6769233300169852,1.3919843660588,0.0,379.0
user_txn_frequency_score_7d,User Transaction Frequency Score,4.612877063803762,2.1477609419588024,1.8982439014107457,0.2857142857142857,170.0
user_unique_types_7d,User Unique Types (7 Days),2.4133727441818142,1.5535033775894451,2.3405917432348295,0.0,10.0
user_night_txns_7d,User Night Transactions (7 Days),1.9053797045009788,1.380354919758313,0.3303785760301162,0.0,296.0
user_unique_types_3d,User Unique Types (3 Days),1.8649000247747833,1.3656134243536064,1.6067358389387347,0.0,9.0
user_unique_channels_7d,User Unique Channels (7 Days),0.9971542363453397,0.9985761044333775,1.5234937395854702,0.0,9.0
user_unique_channels_3d,User Unique Channels (3 Days),0.811910510374004,0.9010607695233457,1.1344015086897217,0.0,7.0
user_channel_diversity_score_7d,User Channel Diversity Score,0.18561194792242824,0.4308270510569505,0.45128402071037005,0.0,0.9990253744613912
user_type_diversity_score_7d,User Transaction Type Diversity,0.10839934924344254,0.3292405643954623,0.6673995581702173,0.0,0.9989940615221448
user_recipient_concentration_ratio_7d,User Recipient Concentration,0.058786861895445255,0.24246002123122332,0.393222707790195,0.0012953367875647669,1.0
user_days_since_last_txn,Days Since User Last Transaction,0.0,0.0,0.0,0.0,0.0
