feature,feature_name,VIF,multicollinearity
user_off_peak_hour_txns_7d,User Off-Peak Transactions (7 Days),inf,High (>10)
user_avg_amount_7d,User Average Amount (7 Days),inf,High (>10)
user_total_txns_7d,User Total Transactions (7 Days),inf,High (>10)
user_avg_start_balance_7d,User Average Starting Balance,inf,High (>10)
user_peak_hour_txns_7d,User Peak Hour Transactions (7 Days),9007199254740992.0,High (>10)
user_max_amount_7d,User Maximum Amount (7 Days),1364626053.4243739,High (>10)
user_max_balance_7d,User Maximum Balance (7 Days),1364496435.8664494,High (>10)
user_min_amount_7d,User Minimum Amount (7 Days),444228980.8803278,High (>10)
user_min_balance_7d,User Minimum Balance (7 Days),444225234.46041304,High (>10)
user_avg_end_balance_7d,User Average Ending Balance,328921790.860142,High (>10)
user_max_amount_to_single_recipient_7d,User Max Amount to One Recipient,195268.7726371182,High (>10)
user_balance_volatility_7d,User Balance Volatility,108.26526742926464,High (>10)
user_avg_amount_3d,User Average Amount (3 Days),81.82206762633527,High (>10)
user_avg_amount_per_recipient_7d,User Avg Amount per Recipient,26.979066183651412,High (>10)
user_median_amount_7d,User Median Amount (7 Days),25.376164848372238,High (>10)
user_median_amount_3d,User Median Amount (3 Days),24.742329767296187,High (>10)
user_total_txns_3d,User Total Transactions (3 Days),19.578000855786204,High (>10)
user_max_amount_3d,User Maximum Amount (3 Days),18.285472460350732,High (>10)
user_unique_recipients_3d,User Unique Recipients (3 Days),16.12995936001774,High (>10)
user_unique_recipients_7d,User Unique Recipients (7 Days),14.00217012908468,High (>10)
user_min_amount_3d,User Minimum Amount (3 Days),10.163657372965993,High (>10)
user_unique_types_3d,User Unique Types (3 Days),9.409604996745571,Moderate (5-10)
user_unique_types_7d,User Unique Types (7 Days),7.96198107281149,Moderate (5-10)
user_total_amount_3d,User Total Amount (3 Days),7.888814899219177,Moderate (5-10)
user_total_amount_7d,User Total Amount (7 Days),7.26783375345984,Moderate (5-10)
user_unique_channels_7d,User Unique Channels (7 Days),6.8918875891967275,Moderate (5-10)
user_unique_channels_3d,User Unique Channels (3 Days),6.233645693888728,Moderate (5-10)
user_txn_frequency_score_7d,User Transaction Frequency Score,4.840857410369221,Low (<5)
user_weekend_txns_7d,User Weekend Transactions (7 Days),3.7751585733475794,Low (<5)
user_type_diversity_score_7d,User Transaction Type Diversity,2.781577555745483,Low (<5)
user_channel_diversity_score_7d,User Channel Diversity Score,2.7764852856165567,Low (<5)
user_recipient_concentration_ratio_7d,User Recipient Concentration,2.0594800127359814,Low (<5)
user_avg_time_between_txns_7d,User Avg Time Between Transactions,1.50656918114863,Low (<5)
user_night_txns_7d,User Night Transactions (7 Days),1.4461958429602464,Low (<5)
trx_amt,Transaction Amount (PKR),1.0182432432344217,Low (<5)
user_days_since_last_txn,Days Since User Last Transaction,,Low (<5)
