feature,feature_name,mean_abs_shap,mean_shap,std_shap,min_shap,max_shap
trx_amt,Transaction Amount (PKR),0.00810238481259266,-0.0026112843762309316,0.012997261719688347,-0.04950522524601084,0.07669761733717506
user_txn_frequency_score_7d,User Transaction Frequency Score,0.00415991838504513,0.0007854619450653918,0.013476043208068337,-0.06910199829490454,0.21854199428416432
user_recipient_concentration_ratio_7d,User Recipient Concentration,0.004000977014417398,-0.0002746913213233074,0.009692988580274352,-0.04742913114723234,0.16239901219146288
user_avg_time_between_txns_7d,User Avg Time Between Transactions,0.003299189445381037,0.0003349594529682225,0.011274574788031927,-0.05982979826980707,0.19342307165937545
user_type_diversity_score_7d,User Transaction Type Diversity,0.0029985497203503806,-9.285409982509138e-05,0.007794197129939613,-0.114895734737121,0.06912069962610676
user_min_balance_7d,User Minimum Balance (7 Days),0.002502969988347664,-0.0002099612765939996,0.007101605575212625,-0.09663800601446369,0.05596260582019819
user_unique_recipients_7d,User Unique Recipients (7 Days),0.0023266531287051326,-2.1658459963692587e-05,0.005546508573987201,-0.06657962639422065,0.04422054151274824
user_off_peak_hour_txns_7d,User Off-Peak Transactions (7 Days),0.0022412208686491855,2.2128146500138256e-05,0.004818975794673726,-0.01786781287339543,0.041551881300330634
user_avg_end_balance_7d,User Average Ending Balance,0.001887662739412484,0.00017958981684226336,0.00489256237430247,-0.01538634696877687,0.05768588852304178
user_total_txns_3d,User Total Transactions (3 Days),0.0018643478567986114,-0.00028771773417300955,0.0042892304671615245,-0.0545308326802757,0.042032836028248574
user_channel_diversity_score_7d,User Channel Diversity Score,0.0018251084449024348,0.00035690649456827564,0.006754825109874469,-0.09598038835216241,0.07407749120058328
user_min_amount_7d,User Minimum Amount (7 Days),0.0017041051153667453,-0.00046463595509307215,0.003386503151318049,-0.01762570808505369,0.037328421468048385
user_weekend_txns_7d,User Weekend Transactions (7 Days),0.001637383948558662,-0.00023385822569753137,0.003781488099778959,-0.0331543370843922,0.044160230737412244
user_unique_channels_7d,User Unique Channels (7 Days),0.0016170061690547397,0.00017335815437971244,0.006850048593955352,-0.14167222641453292,0.01786783558437575
user_balance_volatility_7d,User Balance Volatility,0.0016136433291623548,0.00011930661515623112,0.004768467013941494,-0.03716079252029941,0.06875597778779491
user_max_balance_7d,User Maximum Balance (7 Days),0.001554480764485763,-0.00021440713384728586,0.003918927559144849,-0.041147453004097445,0.03603018299151943
user_peak_hour_txns_7d,User Peak Hour Transactions (7 Days),0.0015389509650468173,0.00046196188420567286,0.007048804522908716,-0.01806063863101562,0.12020218540600852
user_min_amount_3d,User Minimum Amount (3 Days),0.0015195952433344631,5.4140459742960295e-05,0.005360550701800286,-0.04011803192031176,0.08895171449748696
user_median_amount_7d,User Median Amount (7 Days),0.0014523029288666391,-7.040468969290912e-05,0.0034022695661907686,-0.008009552817263623,0.033380943953852764
user_total_amount_3d,User Total Amount (3 Days),0.001434305466225967,-6.893085584898007e-05,0.005366832695201678,-0.02130022784893565,0.10733135083523576
user_total_txns_7d,User Total Transactions (7 Days),0.0013903707727240084,1.3667899569223577e-05,0.005798595368356391,-0.0421839023620504,0.11409520255675398
user_total_amount_7d,User Total Amount (7 Days),0.001333649823632873,0.00015427019082350814,0.0042851883243854635,-0.008118881619451023,0.06798146207693496
user_max_amount_to_single_recipient_7d,User Max Amount to One Recipient,0.0013320126808258207,-0.00023141159497496442,0.0037590286554594703,-0.02383272631189743,0.050931953305224105
user_avg_amount_per_recipient_7d,User Avg Amount per Recipient,0.0013106292750746892,-3.55714826401378e-05,0.003562356423964466,-0.04809544939384928,0.03979540447657715
user_avg_amount_3d,User Average Amount (3 Days),0.0012243445214101644,0.00010289110628192325,0.0038943708127875463,-0.03028139131709983,0.054050041982002354
user_avg_amount_7d,User Average Amount (7 Days),0.001143094911219241,0.000199322572613885,0.002785984098606498,-0.008868848177430496,0.030496656880378607
user_median_amount_3d,User Median Amount (3 Days),0.0011293753359582657,0.0001638059439041929,0.003118205629997223,-0.030392822223949824,0.03260077286444819
user_unique_types_3d,User Unique Types (3 Days),0.001127719594325279,5.7840143968758934e-05,0.0031420210395560937,-0.04210522250043218,0.027474151868481105
user_max_amount_3d,User Maximum Amount (3 Days),0.001122468398793507,7.525819647285391e-05,0.002886932144491012,-0.015012891929302913,0.04019491853672099
user_unique_types_7d,User Unique Types (7 Days),0.0010952277354694326,-4.702494838134177e-06,0.0028436560965695253,-0.030736263874356577,0.018121747265235154
user_night_txns_7d,User Night Transactions (7 Days),0.001064245507103614,-9.304966816179821e-05,0.0024978745420436914,-0.031640781271298976,0.013122375947270377
user_unique_channels_3d,User Unique Channels (3 Days),0.0010514181548099443,-5.935922871493127e-05,0.002250779880045139,-0.017133138397658048,0.015089564101093394
user_max_amount_7d,User Maximum Amount (7 Days),0.0010180706035168485,0.00010726439017799637,0.0022464342834052644,-0.011185766025619395,0.0192066669568987
user_avg_start_balance_7d,User Average Starting Balance,0.000965913188489299,-1.3241038947629585e-05,0.003003560355119822,-0.04539127844105812,0.01456982964598513
user_unique_recipients_3d,User Unique Recipients (3 Days),0.000955370681775938,0.0001863198986358652,0.0026353207293489784,-0.03139306194837563,0.023408442539400085
user_days_since_last_txn,Days Since User Last Transaction,0.0,0.0,0.0,0.0,0.0
